,model_name,capability,test_name,test_n,pred,true,sent,predicate,arg_pos,pred_pos
18,bert_a3_10ep,PatientRight,PatientRight,18,B-ARG1,B-ARG1,Here comes the sun,comes,3,1
19,bert_a3_10ep,PatientRight,PatientRight,19,B-ARG1,B-ARG1,Here projects a shadow,projects,3,1
20,bert_a3_10ep,PatientRight,PatientRight,20,B-ARG1,B-ARG1,Here was a building,was,3,1
21,bert_a3_10ep,PatientRight,PatientRight,21,B-ARG1,B-ARG1,Here is a phone,is,3,1
22,bert_a3_10ep,PatientRight,PatientRight,22,B-ARG1,B-ARG1,Here lays a car,lays,3,1
23,bert_a3_10ep,PatientRight,PatientRight,23,B-ARG1,B-ARG1,Here grows a tree,grows,3,1
24,bert_a3_10ep,PatientRight,PatientRight,24,B-ARG1,B-ARG1,Here floats a computer,floats,3,1
25,bert_a3_10ep,AgentRole3D,AgentRole3D,0,B-ARG0,B-ARG0,Anybody that accidentally yet happily eats in private is unreliable,eats,0,5
26,bert_a3_10ep,AgentRole3D,AgentRole3D,1,B-ARG0,B-ARG0,Nobody that accidentally and sadly eats in private is smart,eats,0,5
27,bert_a3_10ep,AgentRole3D,AgentRole3D,2,B-ARG0,B-ARG0,Anybody that unintentionally and angrily drinks in private is unreliable,drinks,0,5
28,bert_a3_10ep,AgentRole3D,AgentRole3D,3,B-ARG0,B-ARG0,Anybody that intentionally and calmly cries in the bus is smart,cries,0,5
29,bert_a3_10ep,AgentRole3D,AgentRole3D,4,B-ARG0,B-ARG0,Nobody that unintentionally yet sadly cries in public is trustworthy,cries,0,5
30,bert_a3_10ep,AgentRole3D,AgentRole3D,5,B-ARG0,B-ARG0,Anybody that intentionally and happily cries in private is unreliable,cries,0,5
31,bert_a3_10ep,AgentRole3D,AgentRole3D,6,B-ARG0,B-ARG0,Nobody that intentionally and angrily drinks in public is trustworthy,drinks,0,5
32,bert_a3_10ep,AgentRole3D,AgentRole3D,7,B-ARG0,B-ARG0,Nobody that accidentally and calmly drinks in public is smart,drinks,0,5
33,bert_a3_10ep,AgentRole3D,AgentRole3D,8,B-ARG0,B-ARG0,Nobody that unintentionally and sadly laughs in public is unreliable,laughs,0,5
34,bert_a3_10ep,AgentRole3D,AgentRole3D,9,B-ARG0,B-ARG0,Anybody that accidentally yet angrily laughs in public is trustworthy,laughs,0,5
35,bert_a3_10ep,AgentRole3D,AgentRole3D,10,B-ARG0,B-ARG0,Nobody that accidentally and sadly cries in public is smart,cries,0,5
36,bert_a3_10ep,AgentRole3D,AgentRole3D,11,B-ARG0,B-ARG0,Nobody that intentionally and calmly eats in public is unreliable,eats,0,5
37,bert_a3_10ep,AgentRole3D,AgentRole3D,12,B-ARG0,B-ARG0,Anybody that intentionally and calmly eats in the bus is smart,eats,0,5
38,bert_a3_10ep,AgentRole3D,AgentRole3D,13,B-ARG0,B-ARG0,Anybody that unintentionally and happily eats in public is unreliable,eats,0,5
39,bert_a3_10ep,AgentRole3D,AgentRole3D,14,B-ARG0,B-ARG0,Nobody that unintentionally and sadly eats in public is trustworthy,eats,0,5
40,bert_a3_10ep,AgentRole3D,AgentRole3D,15,B-ARG0,B-ARG0,Nobody that accidentally and angrily eats in the bus is smart,eats,0,5
41,bert_a3_10ep,AgentRole3D,AgentRole3D,16,B-ARG0,B-ARG0,Nobody that accidentally yet happily eats in public is unreliable,eats,0,5
42,bert_a3_10ep,AgentRole3D,AgentRole3D,17,B-ARG0,B-ARG0,Nobody that accidentally and sadly cries in the bus is trustworthy,cries,0,5
43,bert_a3_10ep,AgentRole3D,AgentRole3D,18,B-ARG0,B-ARG0,Anybody that intentionally yet sadly eats in the bus is smart,eats,0,5
44,bert_a3_10ep,AgentRole3D,AgentRole3D,19,B-ARG0,B-ARG0,Anybody that intentionally and happily drinks in private is smart,drinks,0,5
45,bert_a3_10ep,AgentRole3D,AgentRole3D,20,B-ARG0,B-ARG0,Nobody that unintentionally and happily laughs in private is unreliable,laughs,0,5
46,bert_a3_10ep,AgentRole3D,AgentRole3D,21,B-ARG0,B-ARG0,Anybody that unintentionally and sadly cries in private is unreliable,cries,0,5
47,bert_a3_10ep,AgentRole3D,AgentRole3D,22,B-ARG0,B-ARG0,Nobody that intentionally and angrily eats in public is trustworthy,eats,0,5
48,bert_a3_10ep,AgentRole3D,AgentRole3D,23,B-ARG0,B-ARG0,Nobody that accidentally and angrily cries in private is trustworthy,cries,0,5
49,bert_a3_10ep,AgentRole3D,AgentRole3D,24,B-ARG0,B-ARG0,Nobody that intentionally and angrily drinks in the bus is smart,drinks,0,5
50,bert_a3_10ep,PatientRole3D,PatientRole3D,0,B-ARG1,B-ARG1,The animal beside that car is blurry,is,1,5
51,bert_a3_10ep,PatientRole3D,PatientRole3D,1,B-ARG1,B-ARG1,The child beside that road is green,is,1,5
52,bert_a3_10ep,PatientRole3D,PatientRole3D,2,B-ARG1,B-ARG1,The mailman near this road is sad,is,1,5
53,bert_a3_10ep,PatientRole3D,PatientRole3D,3,B-ARG1,B-ARG1,The person aside this house is blurry,is,1,5
54,bert_a3_10ep,PatientRole3D,PatientRole3D,4,B-ARG1,B-ARG1,The person aside that road is sad,is,1,5
55,bert_a3_10ep,PatientRole3D,PatientRole3D,5,B-ARG1,B-ARG1,The person beside that car is angry,is,1,5
56,bert_a3_10ep,PatientRole3D,PatientRole3D,6,B-ARG1,B-ARG1,The mailman by that road is sad,is,1,5
57,bert_a3_10ep,PatientRole3D,PatientRole3D,7,B-ARG1,B-ARG1,The child by this road is blurry,is,1,5
58,bert_a3_10ep,PatientRole3D,PatientRole3D,8,B-ARG1,B-ARG1,The animal by that car is sad,is,1,5
59,bert_a3_10ep,PatientRole3D,PatientRole3D,9,B-ARG1,B-ARG1,The person near that house is sad,is,1,5
60,bert_a3_10ep,PatientRole3D,PatientRole3D,10,B-ARG1,B-ARG1,The mailman aside that car is happy,is,1,5
61,bert_a3_10ep,PatientRole3D,PatientRole3D,11,B-ARG1,B-ARG1,The mailman near that road is sad,is,1,5
62,bert_a3_10ep,PatientRole3D,PatientRole3D,12,B-ARG1,B-ARG1,The animal aside that road is happy,is,1,5
63,bert_a3_10ep,PatientRole3D,PatientRole3D,13,B-ARG1,B-ARG1,The mailman aside this car is sad,is,1,5
64,bert_a3_10ep,PatientRole3D,PatientRole3D,14,B-ARG1,B-ARG1,The animal by that road is happy,is,1,5
65,bert_a3_10ep,PatientRole3D,PatientRole3D,15,B-ARG1,B-ARG1,The child near this car is green,is,1,5
66,bert_a3_10ep,PatientRole3D,PatientRole3D,16,B-ARG1,B-ARG1,The animal beside this road is angry,is,1,5
67,bert_a3_10ep,PatientRole3D,PatientRole3D,17,B-ARG1,B-ARG1,The child by that house is angry,is,1,5
68,bert_a3_10ep,PatientRole3D,PatientRole3D,18,B-ARG1,B-ARG1,The person near that car is blurry,is,1,5
69,bert_a3_10ep,PatientRole3D,PatientRole3D,19,B-ARG1,B-ARG1,The person near that car is angry,is,1,5
70,bert_a3_10ep,PatientRole3D,PatientRole3D,20,B-ARG1,B-ARG1,The person aside this car is blurry,is,1,5
71,bert_a3_10ep,PatientRole3D,PatientRole3D,21,B-ARG1,B-ARG1,The animal aside this house is happy,is,1,5
72,bert_a3_10ep,PatientRole3D,PatientRole3D,22,B-ARG1,B-ARG1,The mailman beside this road is sad,is,1,5
73,bert_a3_10ep,PatientRole3D,PatientRole3D,23,B-ARG1,B-ARG1,The person by that house is sad,is,1,5
74,bert_a3_10ep,PatientRole3D,PatientRole3D,24,B-ARG1,B-ARG1,The animal aside this car is happy,is,1,5
75,bert_a3_10ep,TempAdv,TempAdv,0,B-ARGM-TMP,B-ARGM-TMP,I visited my grandmother last May,visited,5,1
76,bert_a3_10ep,TempAdv,TempAdv,1,B-ARGM-TMP,B-ARGM-TMP,I visited my grandmother last January,visited,5,1
77,bert_a3_10ep,TempAdv,TempAdv,2,B-ARGM-TMP,B-ARGM-TMP,I visited my grandmother last February,visited,5,1
78,bert_a3_10ep,TempAdv,TempAdv,3,B-ARGM-TMP,B-ARGM-TMP,I visited my grandmother last March,visited,5,1
79,bert_a3_10ep,TempAdv,TempAdv,4,B-ARGM-TMP,B-ARGM-TMP,I visited my grandmother last April,visited,5,1
80,bert_a3_10ep,TempAdv,TempAdv,5,B-ARGM-TMP,B-ARGM-TMP,I visited my grandmother last May,visited,5,1
81,bert_a3_10ep,TempAdv,TempAdv,6,B-ARGM-TMP,B-ARGM-TMP,I visited my grandmother last June,visited,5,1
82,bert_a3_10ep,TempAdv,TempAdv,7,B-ARGM-TMP,B-ARGM-TMP,I visited my grandmother last July,visited,5,1
83,bert_a3_10ep,TempAdv,TempAdv,8,B-ARGM-TMP,B-ARGM-TMP,I visited my grandmother last August,visited,5,1
84,bert_a3_10ep,TempAdv,TempAdv,9,B-ARGM-TMP,B-ARGM-TMP,I visited my grandmother last September,visited,5,1
85,bert_a3_10ep,TempAdv,TempAdv,10,B-ARGM-TMP,B-ARGM-TMP,I visited my grandmother last October,visited,5,1
86,bert_a3_10ep,TempAdv,TempAdv,11,B-ARGM-TMP,B-ARGM-TMP,I visited my grandmother last November,visited,5,1
87,bert_a3_10ep,TempAdv,TempAdv,12,B-ARGM-TMP,B-ARGM-TMP,I visited my grandmother last December,visited,5,1
88,bert_a3_10ep,TempAdv,TempAdv,13,B-ARGM-TMP,B-ARGM-TMP,I visited my grandmother last Monday,visited,5,1
89,bert_a3_10ep,TempAdv,TempAdv,14,B-ARGM-TMP,B-ARGM-TMP,I visited my grandmother last Tuesday,visited,5,1
90,bert_a3_10ep,TempAdv,TempAdv,15,B-ARGM-TMP,B-ARGM-TMP,I visited my grandmother last Wednesday,visited,5,1
91,bert_a3_10ep,TempAdv,TempAdv,16,B-ARGM-TMP,B-ARGM-TMP,I visited my grandmother last Thursday,visited,5,1
92,bert_a3_10ep,TempAdv,TempAdv,17,B-ARGM-TMP,B-ARGM-TMP,I visited my grandmother last Friday,visited,5,1
93,bert_a3_10ep,TempAdv,TempAdv,18,B-ARGM-TMP,B-ARGM-TMP,I visited my grandmother last Saturday,visited,5,1
94,bert_a3_10ep,TempAdv,TempAdv,19,B-ARGM-TMP,B-ARGM-TMP,I visited my grandmother last Sunday,visited,5,1
95,bert_a3_10ep,TempAdv,TempAdv,20,B-ARGM-TMP,B-ARGM-TMP,My brithday will take place on Monday,take,6,3
96,bert_a3_10ep,TempAdv,TempAdv,21,B-ARGM-TMP,B-ARGM-TMP,My brithday will take place on January,take,6,3
97,bert_a3_10ep,TempAdv,TempAdv,22,B-ARGM-TMP,B-ARGM-TMP,My brithday will take place on February,take,6,3
98,bert_a3_10ep,TempAdv,TempAdv,23,B-ARGM-TMP,B-ARGM-TMP,My brithday will take place on March,take,6,3
99,bert_a3_10ep,TempAdv,TempAdv,24,B-ARGM-TMP,B-ARGM-TMP,My brithday will take place on April,take,6,3
100,bert_a3_10ep,TempAdv,TempAdv,25,B-ARGM-TMP,B-ARGM-TMP,My brithday will take place on May,take,6,3
101,bert_a3_10ep,TempAdv,TempAdv,26,B-ARGM-TMP,B-ARGM-TMP,My brithday will take place on June,take,6,3
102,bert_a3_10ep,TempAdv,TempAdv,27,B-ARGM-TMP,B-ARGM-TMP,My brithday will take place on July,take,6,3
103,bert_a3_10ep,TempAdv,TempAdv,28,B-ARGM-TMP,B-ARGM-TMP,My brithday will take place on August,take,6,3
104,bert_a3_10ep,TempAdv,TempAdv,29,B-ARGM-TMP,B-ARGM-TMP,My brithday will take place on September,take,6,3
105,bert_a3_10ep,TempAdv,TempAdv,30,B-ARGM-TMP,B-ARGM-TMP,My brithday will take place on October,take,6,3
106,bert_a3_10ep,TempAdv,TempAdv,31,B-ARGM-TMP,B-ARGM-TMP,My brithday will take place on November,take,6,3
107,bert_a3_10ep,TempAdv,TempAdv,32,B-ARGM-TMP,B-ARGM-TMP,My brithday will take place on December,take,6,3
108,bert_a3_10ep,TempAdv,TempAdv,33,B-ARGM-TMP,B-ARGM-TMP,My brithday will take place on Monday,take,6,3
109,bert_a3_10ep,TempAdv,TempAdv,34,B-ARGM-TMP,B-ARGM-TMP,My brithday will take place on Tuesday,take,6,3
110,bert_a3_10ep,TempAdv,TempAdv,35,B-ARGM-TMP,B-ARGM-TMP,My brithday will take place on Wednesday,take,6,3
111,bert_a3_10ep,TempAdv,TempAdv,36,B-ARGM-TMP,B-ARGM-TMP,My brithday will take place on Thursday,take,6,3
112,bert_a3_10ep,TempAdv,TempAdv,37,B-ARGM-TMP,B-ARGM-TMP,My brithday will take place on Friday,take,6,3
113,bert_a3_10ep,TempAdv,TempAdv,38,B-ARGM-TMP,B-ARGM-TMP,My brithday will take place on Saturday,take,6,3
114,bert_a3_10ep,TempAdv,TempAdv,39,B-ARGM-TMP,B-ARGM-TMP,My brithday will take place on Sunday,take,6,3
115,bert_a3_10ep,TempAdv,TempAdv,40,O,B-ARGM-TMP,I will have a party next Saturday,have,6,2
116,bert_a3_10ep,TempAdv,TempAdv,41,O,B-ARGM-TMP,I will have a party next January,have,6,2
117,bert_a3_10ep,TempAdv,TempAdv,42,O,B-ARGM-TMP,I will have a party next February,have,6,2
118,bert_a3_10ep,TempAdv,TempAdv,43,O,B-ARGM-TMP,I will have a party next March,have,6,2
119,bert_a3_10ep,TempAdv,TempAdv,44,O,B-ARGM-TMP,I will have a party next April,have,6,2
120,bert_a3_10ep,TempAdv,TempAdv,45,O,B-ARGM-TMP,I will have a party next May,have,6,2
121,bert_a3_10ep,TempAdv,TempAdv,46,O,B-ARGM-TMP,I will have a party next June,have,6,2
122,bert_a3_10ep,TempAdv,TempAdv,47,O,B-ARGM-TMP,I will have a party next July,have,6,2
123,bert_a3_10ep,TempAdv,TempAdv,48,O,B-ARGM-TMP,I will have a party next August,have,6,2
124,bert_a3_10ep,TempAdv,TempAdv,49,O,B-ARGM-TMP,I will have a party next September,have,6,2
125,bert_a3_10ep,TempAdv,TempAdv,50,O,B-ARGM-TMP,I will have a party next October,have,6,2
126,bert_a3_10ep,TempAdv,TempAdv,51,O,B-ARGM-TMP,I will have a party next November,have,6,2
127,bert_a3_10ep,TempAdv,TempAdv,52,O,B-ARGM-TMP,I will have a party next December,have,6,2
128,bert_a3_10ep,TempAdv,TempAdv,53,O,B-ARGM-TMP,I will have a party next Monday,have,6,2
129,bert_a3_10ep,TempAdv,TempAdv,54,O,B-ARGM-TMP,I will have a party next Tuesday,have,6,2
130,bert_a3_10ep,TempAdv,TempAdv,55,O,B-ARGM-TMP,I will have a party next Wednesday,have,6,2
131,bert_a3_10ep,TempAdv,TempAdv,56,O,B-ARGM-TMP,I will have a party next Thursday,have,6,2
132,bert_a3_10ep,TempAdv,TempAdv,57,O,B-ARGM-TMP,I will have a party next Friday,have,6,2
133,bert_a3_10ep,TempAdv,TempAdv,58,O,B-ARGM-TMP,I will have a party next Saturday,have,6,2
134,bert_a3_10ep,TempAdv,TempAdv,59,O,B-ARGM-TMP,I will have a party next Sunday,have,6,2
135,bert_a3_10ep,NegAdv,NegAdv,0,B-ARGM-NEG,B-ARGM-NEG,I never go to the gym,go,1,2
136,bert_a3_10ep,NegAdv,NegAdv,1,B-ARGM-NEG,B-ARGM-NEG,I never eat meat,eat,1,2
137,bert_a3_10ep,NegAdv,NegAdv,2,B-ARGM-NEG,B-ARGM-NEG,I never drink alcohol,drink,1,2
138,bert_a3_10ep,NegAdv,NegAdv,3,B-ARGM-NEG,B-ARGM-NEG,I never watch TV,watch,1,2
139,bert_a3_10ep,NegAdv,NegAdv,4,B-ARGM-NEG,B-ARGM-NEG,I never play video games,play,1,2
140,bert_a3_10ep,NegAdv,NegAdv,5,B-ARGM-NEG,B-ARGM-NEG,I never read books,read,1,2
141,bert_a3_10ep,NegAdv,NegAdv,6,B-ARGM-NEG,B-ARGM-NEG,He never goes to the gym,goes,1,2
142,bert_a3_10ep,NegAdv,NegAdv,7,B-ARGM-NEG,B-ARGM-NEG,He never eats meat,eats,1,2
143,bert_a3_10ep,NegAdv,NegAdv,8,B-ARGM-NEG,B-ARGM-NEG,He never drinks alcohol,drinks,1,2
144,bert_a3_10ep,NegAdv,NegAdv,9,B-ARGM-NEG,B-ARGM-NEG,He never watches TV,watches,1,2
145,bert_a3_10ep,LocationVar,LocationVar,0,B-ARGM-LOC,B-ARGM-LOC,My mother used to live in Mozambique,live,6,4
146,bert_a3_10ep,LocationVar,LocationVar,1,B-ARGM-LOC,B-ARGM-LOC,My mother used to live in Nepal,live,6,4
147,bert_a3_10ep,LocationVar,LocationVar,2,B-ARGM-LOC,B-ARGM-LOC,My mother used to live in China,live,6,4
148,bert_a3_10ep,LocationVar,LocationVar,3,B-ARGM-LOC,B-ARGM-LOC,My mother used to live in Indonesia,live,6,4
149,bert_a3_10ep,LocationVar,LocationVar,4,B-ARGM-LOC,B-ARGM-LOC,My mother used to live in Indonesia,live,6,4
150,bert_a3_10ep,LocationVar,LocationVar,5,B-ARGM-LOC,B-ARGM-LOC,My mother used to live in Uzbekistan,live,6,4
151,bert_a3_10ep,LocationVar,LocationVar,6,B-ARGM-LOC,B-ARGM-LOC,My mother used to live in Japan,live,6,4
152,bert_a3_10ep,LocationVar,LocationVar,7,B-ARGM-LOC,B-ARGM-LOC,My mother used to live in France,live,6,4
153,bert_a3_10ep,LocationVar,LocationVar,8,B-ARGM-LOC,B-ARGM-LOC,My mother used to live in Italy,live,6,4
154,bert_a3_10ep,LocationVar,LocationVar,9,B-ARGM-LOC,B-ARGM-LOC,My mother used to live in Canada,live,6,4
155,bert_a3_10ep,LocationVar,LocationVar,10,B-ARGM-LOC,B-ARGM-LOC,There is a fantastic flower shop in Mozambique,is,7,1
156,bert_a3_10ep,LocationVar,LocationVar,11,B-ARGM-LOC,B-ARGM-LOC,There is a fantastic flower shop in Nepal,is,7,1
157,bert_a3_10ep,LocationVar,LocationVar,12,B-ARGM-LOC,B-ARGM-LOC,There is a fantastic flower shop in China,is,7,1
158,bert_a3_10ep,LocationVar,LocationVar,13,B-ARGM-LOC,B-ARGM-LOC,There is a fantastic flower shop in Indonesia,is,7,1
159,bert_a3_10ep,LocationVar,LocationVar,14,B-ARGM-LOC,B-ARGM-LOC,There is a fantastic flower shop in Indonesia,is,7,1
160,bert_a3_10ep,LocationVar,LocationVar,15,O,B-ARGM-LOC,There is a fantastic flower shop in Uzbekistan,is,7,1
161,bert_a3_10ep,LocationVar,LocationVar,16,B-ARGM-LOC,B-ARGM-LOC,There is a fantastic flower shop in Japan,is,7,1
162,bert_a3_10ep,LocationVar,LocationVar,17,B-ARGM-LOC,B-ARGM-LOC,There is a fantastic flower shop in France,is,7,1
163,bert_a3_10ep,LocationVar,LocationVar,18,B-ARGM-LOC,B-ARGM-LOC,There is a fantastic flower shop in Italy,is,7,1
164,bert_a3_10ep,LocationVar,LocationVar,19,B-ARGM-LOC,B-ARGM-LOC,There is a fantastic flower shop in Canada,is,7,1
165,bert_a3_10ep,LocationVar,LocationVar,20,B-ARGM-LOC,B-ARGM-LOC,I bought flowers in Oakland,bought,4,1
166,bert_a3_10ep,LocationVar,LocationVar,21,B-ARGM-LOC,B-ARGM-LOC,I bought flowers in Cleveland,bought,4,1
167,bert_a3_10ep,LocationVar,LocationVar,22,B-ARGM-LOC,B-ARGM-LOC,I bought flowers in Cincinnati,bought,4,1
168,bert_a3_10ep,LocationVar,LocationVar,23,B-ARGM-LOC,B-ARGM-LOC,I bought flowers in Greensboro,bought,4,1
169,bert_a3_10ep,LocationVar,LocationVar,24,B-ARGM-LOC,B-ARGM-LOC,I bought flowers in Greensboro,bought,4,1
170,bert_a3_10ep,LocationVar,LocationVar,25,B-ARGM-LOC,B-ARGM-LOC,I bought flowers in San Jose,bought,4,1
171,bert_a3_10ep,LocationVar,LocationVar,26,B-ARGM-LOC,B-ARGM-LOC,I bought flowers in Lubbock,bought,4,1
172,bert_a3_10ep,LocationVar,LocationVar,27,B-ARGM-LOC,B-ARGM-LOC,I bought flowers in Denver,bought,4,1
173,bert_a3_10ep,LocationVar,LocationVar,28,B-ARGM-LOC,B-ARGM-LOC,I bought flowers in Kansas,bought,4,1
174,bert_a3_10ep,LocationVar,LocationVar,29,B-ARGM-LOC,B-ARGM-LOC,I bought flowers in Garland,bought,4,1
175,bert_a3_10ep,FreqAdvPast,FreqAdvPast,0,B-ARGM-TMP,B-ARGM-TMP,I ate a cake yesterday,ate,4,1
176,bert_a3_10ep,FreqAdvPast,FreqAdvPast,1,B-ARGM-TMP,B-ARGM-TMP,I ate a cake last week,ate,5,1
177,bert_a3_10ep,FreqAdvPast,FreqAdvPast,2,B-ARGM-TMP,B-ARGM-TMP,I ate a cake last month,ate,5,1
178,bert_a3_10ep,FreqAdvPast,FreqAdvPast,3,B-ARGM-TMP,B-ARGM-TMP,I ate a cake yesterday,ate,4,1
179,bert_a3_10ep,FreqAdvPast,FreqAdvPast,4,B-ARGM-TMP,B-ARGM-TMP,I ate a cake this morning,ate,5,1
180,bert_a3_10ep,FreqAdvPast,FreqAdvPast,5,B-ARGM-TMP,B-ARGM-TMP,I ate a cake last night,ate,5,1
181,bert_a3_10ep,FreqAdvPast,FreqAdvPast,6,B-ARGM-TMP,B-ARGM-TMP,I ate a cake last year,ate,5,1
182,bert_a3_10ep,FreqAdvPast,FreqAdvPast,7,B-ARGM-TMP,B-ARGM-TMP,I ate a cake recently,ate,4,1
183,bert_a3_10ep,FreqAdvPast,FreqAdvPast,8,B-ARGM-TMP,B-ARGM-TMP,I visited my grandmother recently,visited,4,1
184,bert_a3_10ep,FreqAdvPast,FreqAdvPast,9,B-ARGM-TMP,B-ARGM-TMP,I visited my grandmother last week,visited,5,1
185,bert_a3_10ep,FreqAdvPast,FreqAdvPast,10,B-ARGM-TMP,B-ARGM-TMP,I visited my grandmother last month,visited,5,1
186,bert_a3_10ep,FreqAdvPast,FreqAdvPast,11,B-ARGM-TMP,B-ARGM-TMP,I visited my grandmother yesterday,visited,4,1
187,bert_a3_10ep,FreqAdvPast,FreqAdvPast,12,B-ARGM-TMP,B-ARGM-TMP,I visited my grandmother this morning,visited,5,1
188,bert_a3_10ep,FreqAdvPast,FreqAdvPast,13,B-ARGM-TMP,B-ARGM-TMP,I visited my grandmother last night,visited,5,1
189,bert_a3_10ep,FreqAdvPast,FreqAdvPast,14,B-ARGM-TMP,B-ARGM-TMP,I visited my grandmother last year,visited,5,1
190,bert_a3_10ep,FreqAdvPast,FreqAdvPast,15,B-ARGM-TMP,B-ARGM-TMP,I visited my grandmother recently,visited,4,1
191,bert_a3_10ep,FreqAdvPresent,FreqAdvPresent,0,B-ARGM-TMP,B-ARGM-TMP,I will be having my birthday tomorrow,having,6,3
192,bert_a3_10ep,FreqAdvPresent,FreqAdvPresent,1,B-ARGM-TMP,B-ARGM-TMP,I will be having my birthday tomorrow,having,6,3
193,bert_a3_10ep,FreqAdvPresent,FreqAdvPresent,2,B-ARGM-TMP,B-ARGM-TMP,I will be having my birthday today,having,6,3
194,bert_a3_10ep,FreqAdvPresent,FreqAdvPresent,3,B-ARGM-TMP,B-ARGM-TMP,I will be having my birthday this afternoon,having,7,3
195,bert_a3_10ep,FreqAdvPresent,FreqAdvPresent,4,B-ARGM-TMP,B-ARGM-TMP,I will be having my birthday tonight,having,6,3
196,bert_a3_10ep,FreqAdvPresent,FreqAdvPresent,5,B-ARGM-TMP,B-ARGM-TMP,The concert begins tonight,begins,3,2
197,bert_a3_10ep,FreqAdvPresent,FreqAdvPresent,6,B-ARGM-TMP,B-ARGM-TMP,The concert begins tomorrow,begins,3,2
198,bert_a3_10ep,FreqAdvPresent,FreqAdvPresent,7,B-ARGM-TMP,B-ARGM-TMP,The concert begins today,begins,3,2
199,bert_a3_10ep,FreqAdvPresent,FreqAdvPresent,8,B-ARGM-TMP,B-ARGM-TMP,The concert begins this afternoon,begins,4,2
200,bert_a3_10ep,FreqAdvPresent,FreqAdvPresent,9,B-ARGM-TMP,B-ARGM-TMP,The concert begins tonight,begins,3,2
201,bert_a3_10ep,FreqAdvPresent,FreqAdvPresent,10,B-ARGM-TMP,B-ARGM-TMP,Her car is arriving today,arriving,4,3
202,bert_a3_10ep,FreqAdvPresent,FreqAdvPresent,11,B-ARGM-TMP,B-ARGM-TMP,Her car is arriving tomorrow,arriving,4,3
203,bert_a3_10ep,FreqAdvPresent,FreqAdvPresent,12,B-ARGM-TMP,B-ARGM-TMP,Her car is arriving today,arriving,4,3
204,bert_a3_10ep,FreqAdvPresent,FreqAdvPresent,13,B-ARGM-TMP,B-ARGM-TMP,Her car is arriving this afternoon,arriving,5,3
205,bert_a3_10ep,FreqAdvPresent,FreqAdvPresent,14,B-ARGM-TMP,B-ARGM-TMP,Her car is arriving tonight,arriving,4,3
206,bert_a3_10ep,FreqAdvFuture,FreqAdvFuture,0,O,B-ARGM-TMP,I will have a party tonight,have,5,2
207,bert_a3_10ep,FreqAdvFuture,FreqAdvFuture,1,O,B-ARGM-TMP,I will have a party next week,have,6,2
208,bert_a3_10ep,FreqAdvFuture,FreqAdvFuture,2,O,B-ARGM-TMP,I will have a party next month,have,6,2
209,bert_a3_10ep,FreqAdvFuture,FreqAdvFuture,3,O,B-ARGM-TMP,I will have a party next year,have,6,2
210,bert_a3_10ep,FreqAdvFuture,FreqAdvFuture,4,O,B-ARGM-TMP,I will have a party tomorrow,have,5,2
211,bert_a3_10ep,FreqAdvFuture,FreqAdvFuture,5,O,B-ARGM-TMP,I will have a party tonight,have,5,2
212,bert_a3_10ep,FreqAdvFuture,FreqAdvFuture,6,B-ARGM-TMP,B-ARGM-TMP,He will go to the park tomorrow,go,6,2
213,bert_a3_10ep,FreqAdvFuture,FreqAdvFuture,7,B-ARGM-TMP,B-ARGM-TMP,He will go to the park next week,go,7,2
